91.229.215.156 - - [26/Aug/2024:08:29:54 +0330] "GET /javax.faces.resource/extra-libs/jvector/jquery-jvectormap-2.0.2.min.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [26/Aug/2024:08:29:54 +0330] "GET /javax.faces.resource/extra-libs/jvector/jquery-jvectormap-world-mill-en.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [26/Aug/2024:08:29:54 +0330] "GET /javax.faces.resource/js/pages/dashboards/dashboard1.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [26/Aug/2024:08:29:54 +0330] "GET /javax.faces.resource/js/datepicker-fa.js.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [26/Aug/2024:08:29:54 +0330] "GET /javax.faces.resource/font-awesome/webfonts/fa-solid-900.woff2.xhtml?ln=icons HTTP/1.1" 304 -
91.229.215.156 - - [26/Aug/2024:08:29:54 +0330] "GET /javax.faces.resource/primeicons/primeicons.ttf.xhtml?ln=primefaces&v=8.0 HTTP/1.1" 304 -
91.229.215.156 - - [26/Aug/2024:08:29:58 +0330] "POST /admin/?page=21 HTTP/1.1" 200 427
91.229.215.156 - - [26/Aug/2024:08:29:59 +0330] "POST /admin/?page=21 HTTP/1.1" 200 26480
91.229.215.156 - - [26/Aug/2024:08:30:00 +0330] "POST /admin/?page=21 HTTP/1.1" 200 26534
91.229.215.156 - - [26/Aug/2024:08:35:36 +0330] "GET /admin/?page=22&item=5f25082d9496205ef273facb HTTP/1.1" 200 353500
91.229.215.156 - - [26/Aug/2024:08:35:36 +0330] "GET /javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
91.229.215.156 - - [26/Aug/2024:08:35:36 +0330] "GET /javax.faces.resource/extra-libs/c3/c3.min.css.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [26/Aug/2024:08:35:36 +0330] "GET /javax.faces.resource/extra-libs/jvector/jquery-jvectormap-2.0.2.css.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [26/Aug/2024:08:35:36 +0330] "GET /javax.faces.resource/css/admin.css.xhtml HTTP/1.1" 304 -
91.229.215.156 - - [26/Aug/2024:08:35:36 +0330] "GET /javax.faces.resource/css/theme/teanow-prime-1/theme.css.xhtml HTTP/1.1" 304 -
